vendor_id,category,category_name,lookup_key,lookup_value,metadata,is_active
1,billing_interval,電費寄送區間,台北市大同區興城街51號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00176717202""}",t
1,billing_interval,電費寄送區間,台北市大同區興城街51號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00176717406""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路2段5.7號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00017664305""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路2段5.7號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00017664203""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路2段5.7號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00017667400""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路2段5號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00017667308""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路2段5號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00017667206""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路3段137巷25號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00242091308""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路3段137巷25號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00242091206""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路3段137巷25號公設,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00242091002""}",t
1,billing_interval,電費寄送區間,台北市大同區重慶北路3段137巷25號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00242091400""}",t
1,billing_interval,電費寄送區間,台北市大同區長安西路78巷4弄6號之4三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00021061304""}",t
1,billing_interval,電費寄送區間,台北市大安區敦化南路二段81巷53號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00890743446""}",t
1,billing_interval,電費寄送區間,台北市大安區樂利路45巷5號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00894942207""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷23號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817545307""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷23號三樓之1,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817545329""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷23號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817545409""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷23號四樓之1,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817545421""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷25號三樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817543305""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷25號二樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817543203""}",t
1,billing_interval,電費寄送區間,台北市大安區泰順街54巷25號四樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00817543407""}",t
1,billing_interval,電費寄送區間,台北市松山區民生東路五段138巷3號2樓之7,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00302282205""}",t
1,billing_interval,電費寄送區間,台北市松山區饒河街181號2樓,雙月,"{""note"": ""您的電費帳單將於每【雙月】寄送。"", ""electric_number"": ""00491162209""}",t
